thput,droprate,cal5,cal6
6.10607604871631,0.0018610421836228,5.038884850643107,3.432433145591128
3.674252294506174,0.0026564834799933,4.1180206993561175,2.770178284711592
2.328249527049163,0.006063756063756,2.716901671541175,1.7379239848077033
2.0234183391117972,0.0115952466690673,1.9705178107577148,1.106258561330346
1.642440977918764,0.0070245860511791,2.5225991989310965,1.5061702650199975
1.4487385848913787,0.0117176336096027,1.9526946824613935,1.094843813742857
1.2137215615633814,0.0150988032284998,1.7262143656045856,0.9143374817632798
1.0600669310382,0.0183314886552296,1.559716421031392,0.8080366351488543
0.9613652830099711,0.0195841716968477,1.507485587495793,0.7868834806377359
0.8700457756784106,0.0216970425262033,1.4312973700988516,0.7082572555611798
0.8168897607858839,0.0241675970315886,1.3577339604343204,0.679752432260878
0.731214763353144,0.0246735350088588,1.3359279129806976,0.6423165970905931
0.680779654395312,0.02777237038479,1.2613566828639882,0.5890477528522619
0.6384840767909458,0.0298871216008209,1.2113640187781032,0.5448658083577776
0.5929495443667376,0.0319019192502728,1.1702739877987718,0.5210911356744872
0.5615143297200844,0.032737906045388,1.1523186921206623,0.5162170074429249
0.5337261275536378,0.0347869611462178,1.1216688380537028,0.4760241776975091
0.4970108672527673,0.0363613328265551,1.0937524909321912,0.4513933177455232
0.485029591424917,0.0359596459738812,1.0998196626551988,0.455872530916075
0.4631374390887723,0.0408175791799656,1.0289112287829212,0.4315400722457739
0.4358912505355752,0.0443897940362742,0.9840025370448784,0.385431960290072
0.4144287378804686,0.0444925742574257,0.9820795515253172,0.3663413320138006
0.3978374503707618,0.0445840069643079,0.980606925421646,0.3662949579349405
0.384353350579487,0.04877161055505,0.9350289180137858,0.3432233958191334
0.370786606159016,0.0495359768591057,0.9294633335583736,0.3389494758542301
0.3555864615912996,0.049972808024654,0.9194710047855228,0.3361415574345212
0.3463599591487102,0.053936468204303,0.8853453543537829,0.3160254448291129
0.3333504558924881,0.0561455847255369,0.8669754121363342,0.300883709265254
0.322407703669176,0.0580018939393939,0.8512387077943157,0.284830000265019
0.3092649751063326,0.0564877291455186,0.8650031503417983,0.2777725081741126
0.299215424034823,0.0615860183093567,0.8218976214801533,0.2655058624132584
0.2901153687364281,0.0634381701215153,0.8104730677165489,0.2459929464892845
0.2866383245128843,0.0621959083181898,0.8146869822502335,0.2582144486967042
0.2781351624474094,0.0673650095491637,0.7839944223987919,0.2422225497591725
0.268780525506642,0.0668496029892573,0.7895504136007624,0.2295345982052272
0.2616490299575626,0.0703955392925596,0.7646862548379135,0.2232278392953075
0.2548227855851279,0.0705009276437847,0.7653092055372399,0.2171091518657804
0.2473252727145835,0.0714160788200314,0.7610731408735055,0.2118624450928944
0.242417593253237,0.0704436623781226,0.7631270611336751,0.211737330079653
0.233561197142417,0.0736946271610687,0.7443669928513861,0.199536133869688
0.2319958596454593,0.0742243300382835,0.745221863644116,0.195085629517433
0.2257453720103494,0.0776206227900079,0.7264330466449813,0.1895416345020617
0.2214085428934708,0.0768573381950774,0.7286821180153303,0.1876297567522092
0.2162190019656437,0.0797105578029741,0.713646465426963,0.1796428099060274
0.210592231014572,0.0822394703800935,0.7039975370727699,0.1707317176329678
